"word" "n" "prob"
"623" "easy" 276 0.000182813055766593
"624" "proud" 276 0.000182813055766593
"625" "service" 276 0.000182813055766593
"626" "tho" 276 0.000182813055766593
"627" "15" 275 0.000182150689622511
"628" "green" 275 0.000182150689622511
"629" "kid" 273 0.000180825957334347
"630" "yay" 273 0.000180825957334347
"631" "blog" 272 0.000180163591190265
"632" "success" 271 0.000179501225046183
"633" "under" 270 0.000178838858902102
"634" "reason" 269 0.00017817649275802
"635" "via" 269 0.00017817649275802
"636" "voice" 269 0.00017817649275802
"637" "fast" 268 0.000177514126613938
"638" "thursday" 268 0.000177514126613938
"639" "bar" 267 0.000176851760469856
"640" "three" 267 0.000176851760469856
"641" "understand" 267 0.000176851760469856
"642" "able" 266 0.000176189394325774
"643" "thx" 266 0.000176189394325774
"644" "art" 265 0.000175527028181692
"645" "lots" 265 0.000175527028181692
"646" "park" 265 0.000175527028181692
"647" "share" 265 0.000175527028181692
"648" "pay" 264 0.00017486466203761
"649" "e" 263 0.000174202295893529
"650" "power" 263 0.000174202295893529
"651" "sign" 263 0.000174202295893529
"652" "add" 262 0.000173539929749447
"653" "nyc" 262 0.000173539929749447
"654" "cut" 260 0.000172215197461283
"655" "series" 260 0.000172215197461283
"656" "john" 259 0.000171552831317201
"657" "worth" 259 0.000171552831317201
"658" "giving" 258 0.000170890465173119
"659" "experience" 256 0.000169565732884956
"660" "group" 256 0.000169565732884956
"661" "m" 256 0.000169565732884956
"662" "single" 256 0.000169565732884956
"663" "ff" 255 0.000168903366740874
"664" "body" 254 0.000168241000596792
"665" "dear" 253 0.00016757863445271
"666" "club" 252 0.000166916268308628
"667" "lets" 252 0.000166916268308628
"668" "ppl" 252 0.000166916268308628
"669" "tweeting" 252 0.000166916268308628
"670" "ain't" 251 0.000166253902164546
"671" "î" 251 0.000166253902164546
"672" "project" 250 0.000165591536020464
"673" "safe" 250 0.000165591536020464
"674" "st" 250 0.000165591536020464
"675" "wit" 250 0.000165591536020464
"676" "app" 249 0.000164929169876383
"677" "small" 248 0.000164266803732301
"678" "who's" 248 0.000164266803732301
"679" "50" 247 0.000163604437588219
"680" "em" 247 0.000163604437588219
"681" "young" 247 0.000163604437588219
"682" "account" 246 0.000162942071444137
"683" "happened" 246 0.000162942071444137
"684" "san" 246 0.000162942071444137
"685" "store" 246 0.000162942071444137
"686" "website" 246 0.000162942071444137
"687" "woman" 246 0.000162942071444137
"688" "x" 246 0.000162942071444137
"689" "dad" 245 0.000162279705300055
"690" "lose" 245 0.000162279705300055
"691" "write" 245 0.000162279705300055
"692" "couple" 244 0.000161617339155973
"693" "die" 244 0.000161617339155973
"694" "couldn't" 243 0.000160954973011891
"695" "eating" 243 0.000160954973011891
"696" "fire" 243 0.000160954973011891
"697" "you've" 243 0.000160954973011891
"698" "living" 241 0.000159630240723728
"699" "mention" 241 0.000159630240723728
"700" "become" 240 0.000158967874579646
"701" "fight" 240 0.000158967874579646
"702" "smile" 240 0.000158967874579646
"703" "won" 240 0.000158967874579646
"704" "final" 239 0.000158305508435564
"705" "album" 238 0.000157643142291482
"706" "anymore" 238 0.000157643142291482
"707" "followed" 238 0.000157643142291482
"708" "google" 238 0.000157643142291482
"709" "short" 238 0.000157643142291482
"710" "wasn't" 238 0.000157643142291482
"711" "band" 237 0.0001569807761474
"712" "hand" 237 0.0001569807761474
"713" "against" 236 0.000156318410003318
"714" "dc" 236 0.000156318410003318
"715" "film" 236 0.000156318410003318
"716" "months" 236 0.000156318410003318
"717" "sound" 236 0.000156318410003318
"718" "works" 236 0.000156318410003318
"719" "radio" 235 0.000155656043859237
"720" "date" 234 0.000154993677715155
"721" "knew" 234 0.000154993677715155
"722" "shot" 234 0.000154993677715155
"723" "shows" 234 0.000154993677715155
"724" "american" 233 0.000154331311571073
"725" "picture" 233 0.000154331311571073
"726" "behind" 232 0.000153668945426991
"727" "forever" 232 0.000153668945426991
"728" "da" 231 0.000153006579282909
"729" "road" 231 0.000153006579282909
"730" "sun" 231 0.000153006579282909
"731" "self" 230 0.000152344213138827
"732" "starts" 230 0.000152344213138827
"733" "sucks" 230 0.000152344213138827
"734" "weird" 230 0.000152344213138827
"735" "bet" 229 0.000151681846994745
"736" "heading" 229 0.000151681846994745
"737" "fine" 228 0.000151019480850664
"738" "history" 228 0.000151019480850664
"739" "hurt" 228 0.000151019480850664
